Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
05.01.2022;05:30:00.000;143.827;1.0;
05.01.2022;06:00:00.000;146.215;1.0;
05.01.2022;06:30:00.000;156.246;1.0;
05.01.2022;07:00:00.000;157.727;1.0;
05.01.2022;07:30:00.000;157.143;1.0;
05.01.2022;08:00:00.000;156.592;1.0;
05.01.2022;08:30:00.000;162.089;1.0;
05.01.2022;09:00:00.000;156.205;1.0;
05.01.2022;09:30:00.000;162.076;1.0;
05.01.2022;10:00:00.000;149.761;1.0;
05.01.2022;10:30:00.000;153.380;1.0;
05.01.2022;11:00:00.000;156.296;1.0;
05.01.2022;11:30:00.000;157.560;1.0;
05.01.2022;12:00:00.000;159.693;1.0;
05.01.2022;12:30:00.000;158.421;1.0;
05.01.2022;13:00:00.000;162.514;1.0;
05.01.2022;13:30:00.000;161.015;1.0;
05.01.2022;14:00:00.000;157.061;1.0;
05.01.2022;14:30:00.000;156.335;1.0;
05.01.2022;15:00:00.000;160.403;1.0;
05.01.2022;15:30:00.000;156.793;1.0;
05.01.2022;16:00:00.000;149.286;1.0;
05.01.2022;16:30:00.000;151.861;1.0;
05.01.2022;17:00:00.000;163.110;1.0;
05.01.2022;17:30:00.000;156.990;1.0;
05.01.2022;18:00:00.000;158.770;1.0;
05.01.2022;18:30:00.000;161.122;1.0;
05.01.2022;19:00:00.000;154.585;1.0;
05.01.2022;19:30:00.000;159.424;1.0;
05.01.2022;20:00:00.000;155.576;1.0;
05.01.2022;20:30:00.000;158.924;1.0;
05.01.2022;21:00:00.000;153.358;1.0;
05.01.2022;21:30:00.000;140.030;1.0;
05.01.2022;22:00:00.000;130.034;1.0;
05.01.2022;22:30:00.000;111.612;1.0;
05.01.2022;23:00:00.000;113.395;1.0;
05.01.2022;23:30:00.000;95.950;1.0;
06.01.2022;00:00:00.000;98.115;1.0;
06.01.2022;00:30:00.000;99.946;1.0;
06.01.2022;01:00:00.000;96.716;1.0;
06.01.2022;01:30:00.000;100.235;1.0;
06.01.2022;02:00:00.000;103.357;1.0;
06.01.2022;02:30:00.000;99.495;1.0;
06.01.2022;03:00:00.000;110.399;1.0;
06.01.2022;03:30:00.000;116.620;1.0;
06.01.2022;04:00:00.000;131.205;1.0;
06.01.2022;04:30:00.000;131.974;1.0;
06.01.2022;05:00:00.000;132.704;1.0;
